grade,size,rafter_spacing,roof_type,roof_load_width,span_type,max_span
F5,70x35,450,sheet,5000,continuous,300
F5,70x35,450,sheet,4500,continuous,300
F5,70x35,450,sheet,4000,continuous,300
F5,70x35,450,sheet,3500,continuous,450
F5,70x35,450,sheet,3000,continuous,600
F5,70x35,450,sheet,2500,continuous,600
F5,70x35,450,sheet,2000,continuous,600
F5,70x35,450,sheet,1500,continuous,600
F5,70x35,450,sheet,1000,continuous,600
F5,70x35,450,sheet,500,continuous,600
F5,70x35,450,sheet,0,continuous,600
F5,70x45,450,sheet,7500,continuous,450
F5,70x45,450,sheet,7000,continuous,450
F5,70x45,450,sheet,6500,continuous,450
F5,70x45,450,sheet,6000,continuous,600
F5,70x45,450,sheet,5500,continuous,600
F5,70x45,450,sheet,5000,continuous,600
F5,70x45,450,sheet,4500,continuous,600
F5,70x45,450,sheet,4000,continuous,600
F5,70x45,450,sheet,3500,continuous,600
F5,70x45,450,sheet,3000,continuous,600
F5,70x45,450,sheet,2500,continuous,600
F5,70x45,450,sheet,2000,continuous,600
F5,70x45,450,sheet,1500,continuous,600
F5,70x45,450,sheet,1000,continuous,600
F5,70x45,450,sheet,500,continuous,600
F5,70x45,450,sheet,0,continuous,600
F5,2/70x35,450,sheet,7500,continuous,600
F5,2/70x35,450,sheet,7000,continuous,600
F5,2/70x35,450,sheet,6500,continuous,600
F5,2/70x35,450,sheet,6000,continuous,600
F5,2/70x35,450,sheet,5500,continuous,600
F5,2/70x35,450,sheet,5000,continuous,600
F5,2/70x35,450,sheet,4500,continuous,600
F5,2/70x35,450,sheet,4000,continuous,600
F5,2/70x35,450,sheet,3500,continuous,600
F5,2/70x35,450,sheet,3000,continuous,600
F5,2/70x35,450,sheet,2500,continuous,600
F5,2/70x35,450,sheet,2000,continuous,600
F5,2/70x35,450,sheet,1500,continuous,600
F5,2/70x35,450,sheet,1000,continuous,600
F5,2/70x35,450,sheet,500,continuous,600
F5,2/70x35,450,sheet,0,continuous,600
F5,2/70x45,450,sheet,7500,continuous,600
F5,2/70x45,450,sheet,7000,continuous,600
F5,2/70x45,450,sheet,6500,continuous,600
F5,2/70x45,450,sheet,6000,continuous,600
F5,2/70x45,450,sheet,5500,continuous,600
F5,2/70x45,450,sheet,5000,continuous,600
F5,2/70x45,450,sheet,4500,continuous,600
F5,2/70x45,450,sheet,4000,continuous,600
F5,2/70x45,450,sheet,3500,continuous,600
F5,2/70x45,450,sheet,3000,continuous,600
F5,2/70x45,450,sheet,2500,continuous,600
F5,2/70x45,450,sheet,2000,continuous,600
F5,2/70x45,450,sheet,1500,continuous,600
F5,2/70x45,450,sheet,1000,continuous,600
F5,2/70x45,450,sheet,500,continuous,600
F5,2/70x45,450,sheet,0,continuous,600
F5,3/70x35,450,sheet,7500,continuous,600
F5,3/70x35,450,sheet,7000,continuous,600
F5,3/70x35,450,sheet,6500,continuous,600
F5,3/70x35,450,sheet,6000,continuous,600
F5,3/70x35,450,sheet,5500,continuous,600
F5,3/70x35,450,sheet,5000,continuous,600
F5,3/70x35,450,sheet,4500,continuous,600
F5,3/70x35,450,sheet,4000,continuous,600
F5,3/70x35,450,sheet,3500,continuous,600
F5,3/70x35,450,sheet,3000,continuous,600
F5,3/70x35,450,sheet,2500,continuous,600
F5,3/70x35,450,sheet,2000,continuous,600
F5,3/70x35,450,sheet,1500,continuous,600
F5,3/70x35,450,sheet,1000,continuous,600
F5,3/70x35,450,sheet,500,continuous,600
F5,3/70x35,450,sheet,0,continuous,600
F5,3/70x45,450,sheet,7500,continuous,600
F5,3/70x45,450,sheet,7000,continuous,600
F5,3/70x45,450,sheet,6500,continuous,600
F5,3/70x45,450,sheet,6000,continuous,600
F5,3/70x45,450,sheet,5500,continuous,600
F5,3/70x45,450,sheet,5000,continuous,600
F5,3/70x45,450,sheet,4500,continuous,600
F5,3/70x45,450,sheet,4000,continuous,600
F5,3/70x45,450,sheet,3500,continuous,600
F5,3/70x45,450,sheet,3000,continuous,600
F5,3/70x45,450,sheet,2500,continuous,600
F5,3/70x45,450,sheet,2000,continuous,600
F5,3/70x45,450,sheet,1500,continuous,600
F5,3/70x45,450,sheet,1000,continuous,600
F5,3/70x45,450,sheet,500,continuous,600
F5,3/70x45,450,sheet,0,continuous,600
F5,90x35,450,sheet,7500,continuous,300
F5,90x35,450,sheet,7000,continuous,300
F5,90x35,450,sheet,6500,continuous,300
F5,90x35,450,sheet,6000,continuous,450
F5,90x35,450,sheet,5500,continuous,450
F5,90x35,450,sheet,5000,continuous,450
F5,90x35,450,sheet,4500,continuous,600
F5,90x35,450,sheet,4000,continuous,600
F5,90x35,450,sheet,3500,continuous,600
F5,90x35,450,sheet,3000,continuous,600
F5,90x35,450,sheet,2500,continuous,600
F5,90x35,450,sheet,2000,continuous,600
F5,90x35,450,sheet,1500,continuous,600
F5,90x35,450,sheet,1000,continuous,600
F5,90x35,450,sheet,500,continuous,600
F5,90x35,450,sheet,0,continuous,600
F5,90x45,450,sheet,7500,continuous,600
F5,90x45,450,sheet,7000,continuous,600
F5,90x45,450,sheet,6500,continuous,600
F5,90x45,450,sheet,6000,continuous,600
F5,90x45,450,sheet,5500,continuous,600
F5,90x45,450,sheet,5000,continuous,600
F5,90x45,450,sheet,4500,continuous,600
F5,90x45,450,sheet,4000,continuous,600
F5,90x45,450,sheet,3500,continuous,600
F5,90x45,450,sheet,3000,continuous,600
F5,90x45,450,sheet,2500,continuous,600
F5,90x45,450,sheet,2000,continuous,600
F5,90x45,450,sheet,1500,continuous,600
F5,90x45,450,sheet,1000,continuous,600
F5,90x45,450,sheet,500,continuous,600
F5,90x45,450,sheet,0,continuous,600
F5,2/90x35,450,sheet,7500,continuous,600
F5,2/90x35,450,sheet,7000,continuous,600
F5,2/90x35,450,sheet,6500,continuous,600
F5,2/90x35,450,sheet,6000,continuous,600
F5,2/90x35,450,sheet,5500,continuous,600
F5,2/90x35,450,sheet,5000,continuous,600
F5,2/90x35,450,sheet,4500,continuous,600
F5,2/90x35,450,sheet,4000,continuous,600
F5,2/90x35,450,sheet,3500,continuous,600
F5,2/90x35,450,sheet,3000,continuous,600
F5,2/90x35,450,sheet,2500,continuous,600
F5,2/90x35,450,sheet,2000,continuous,600
F5,2/90x35,450,sheet,1500,continuous,600
F5,2/90x35,450,sheet,1000,continuous,600
F5,2/90x35,450,sheet,500,continuous,600
F5,2/90x35,450,sheet,0,continuous,600
F5,2/90x45,450,sheet,7500,continuous,600
F5,2/90x45,450,sheet,7000,continuous,600
F5,2/90x45,450,sheet,6500,continuous,600
F5,2/90x45,450,sheet,6000,continuous,600
F5,2/90x45,450,sheet,5500,continuous,600
F5,2/90x45,450,sheet,5000,continuous,600
F5,2/90x45,450,sheet,4500,continuous,600
F5,2/90x45,450,sheet,4000,continuous,600
F5,2/90x45,450,sheet,3500,continuous,600
F5,2/90x45,450,sheet,3000,continuous,600
F5,2/90x45,450,sheet,2500,continuous,600
F5,2/90x45,450,sheet,2000,continuous,600
F5,2/90x45,450,sheet,1500,continuous,600
F5,2/90x45,450,sheet,1000,continuous,600
F5,2/90x45,450,sheet,500,continuous,600
F5,2/90x45,450,sheet,0,continuous,600
F5,3/90x35,450,sheet,7500,continuous,600
F5,3/90x35,450,sheet,7000,continuous,600
F5,3/90x35,450,sheet,6500,continuous,600
F5,3/90x35,450,sheet,6000,continuous,600
F5,3/90x35,450,sheet,5500,continuous,600
F5,3/90x35,450,sheet,5000,continuous,600
F5,3/90x35,450,sheet,4500,continuous,600
F5,3/90x35,450,sheet,4000,continuous,600
F5,3/90x35,450,sheet,3500,continuous,600
F5,3/90x35,450,sheet,3000,continuous,600
F5,3/90x35,450,sheet,2500,continuous,600
F5,3/90x35,450,sheet,2000,continuous,600
F5,3/90x35,450,sheet,1500,continuous,600
F5,3/90x35,450,sheet,1000,continuous,600
F5,3/90x35,450,sheet,500,continuous,600
F5,3/90x35,450,sheet,0,continuous,600
F5,3/90x45,450,sheet,7500,continuous,600
F5,3/90x45,450,sheet,7000,continuous,600
F5,3/90x45,450,sheet,6500,continuous,600
F5,3/90x45,450,sheet,6000,continuous,600
F5,3/90x45,450,sheet,5500,continuous,600
F5,3/90x45,450,sheet,5000,continuous,600
F5,3/90x45,450,sheet,4500,continuous,600
F5,3/90x45,450,sheet,4000,continuous,600
F5,3/90x45,450,sheet,3500,continuous,600
F5,3/90x45,450,sheet,3000,continuous,600
F5,3/90x45,450,sheet,2500,continuous,600
F5,3/90x45,450,sheet,2000,continuous,600
F5,3/90x45,450,sheet,1500,continuous,600
F5,3/90x45,450,sheet,1000,continuous,600
F5,3/90x45,450,sheet,500,continuous,600
F5,3/90x45,450,sheet,0,continuous,600
F5,70x35,600,sheet,3000,continuous,300
F5,70x35,600,sheet,2500,continuous,300
F5,70x35,600,sheet,2000,continuous,450
F5,70x35,600,sheet,1500,continuous,600
F5,70x35,600,sheet,1000,continuous,600
F5,70x35,600,sheet,500,continuous,600
F5,70x35,600,sheet,0,continuous,600
F5,70x45,600,sheet,7500,continuous,300
F5,70x45,600,sheet,7000,continuous,300
F5,70x45,600,sheet,6500,continuous,300
F5,70x45,600,sheet,6000,continuous,300
F5,70x45,600,sheet,5500,continuous,300
F5,70x45,600,sheet,5000,continuous,450
F5,70x45,600,sheet,4500,continuous,450
F5,70x45,600,sheet,4000,continuous,600
F5,70x45,600,sheet,3500,continuous,600
F5,70x45,600,sheet,3000,continuous,600
F5,70x45,600,sheet,2500,continuous,600
F5,70x45,600,sheet,2000,continuous,600
F5,70x45,600,sheet,1500,continuous,600
F5,70x45,600,sheet,1000,continuous,600
F5,70x45,600,sheet,500,continuous,600
F5,70x45,600,sheet,0,continuous,600
F5,2/70x35,600,sheet,7500,continuous,450
F5,2/70x35,600,sheet,7000,continuous,600
F5,2/70x35,600,sheet,6500,continuous,600
F5,2/70x35,600,sheet,6000,continuous,600
F5,2/70x35,600,sheet,5500,continuous,600
F5,2/70x35,600,sheet,5000,continuous,600
F5,2/70x35,600,sheet,4500,continuous,600
F5,2/70x35,600,sheet,4000,continuous,600
F5,2/70x35,600,sheet,3500,continuous,600
F5,2/70x35,600,sheet,3000,continuous,600
F5,2/70x35,600,sheet,2500,continuous,600
F5,2/70x35,600,sheet,2000,continuous,600
F5,2/70x35,600,sheet,1500,continuous,600
F5,2/70x35,600,sheet,1000,continuous,600
F5,2/70x35,600,sheet,500,continuous,600
F5,2/70x35,600,sheet,0,continuous,600
F5,2/70x45,600,sheet,7500,continuous,600
F5,2/70x45,600,sheet,7000,continuous,600
F5,2/70x45,600,sheet,6500,continuous,600
F5,2/70x45,600,sheet,6000,continuous,600
F5,2/70x45,600,sheet,5500,continuous,600
F5,2/70x45,600,sheet,5000,continuous,600
F5,2/70x45,600,sheet,4500,continuous,600
F5,2/70x45,600,sheet,4000,continuous,600
